"","Depth","Fragment","Species","2019-10-30","2020-02-25","2020-03-18","2020-03-25","2020-04-01","2020-04-08","2020-04-15","2020-04-22","2020-04-29","2020-05-06","2020-05-13","2020-05-20","2020-06-03","2020-06-17","2020-07-15","2020-10-07"
"1","1","1","Acropora verweyi",100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1","1","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"3","1","1","Porites cylindrica",90,100,100,100,100,100,90,80,80,80,70,60,0,0,0,0
"4","1","2","Acropora verweyi",100,90,70,70,70,70,70,60,60,60,60,60,60,60,0,30
"5","1","2","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0
"6","1","2","Porites cylindrica",100,90,100,100,100,90,90,90,90,80,80,60,0,0,0,0
"7","1","3","Acropora verweyi",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","3","Pocillopora verrucosa",100,100,100,100,90,90,90,70,70,60,30,0,0,0,0,0
"9","1","3","Porites cylindrica",100,100,100,100,100,100,90,90,80,70,70,50,0,0,0,0
"10","1","4","Acropora verweyi",100,90,90,70,70,70,70,60,60,60,60,60,50,40,20,50
"11","1","4","Pocillopora verrucosa",100,100,100,100,100,100,100,100,90,90,70,70,0,0,0,0
"12","1","4","Porites cylindrica",90,85,90,90,80,70,70,60,60,60,60,30,30,0,0,0
"13","1","5","Acropora verweyi",100,60,80,70,70,70,70,70,70,70,60,70,20,30,20,NA
"14","1","5","Pocillopora verrucosa",100,100,100,100,100,80,80,70,70,60,0,0,0,0,0,0
"15","1","5","Porites cylindrica",60,90,80,80,80,90,80,60,35,10,10,20,20,0,0,0
"16","1","6","Acropora verweyi",100,60,80,80,80,70,70,70,70,70,60,70,60,60,40,10
"17","1","6","Pocillopora verrucosa",100,100,100,100,90,80,80,70,50,30,0,0,0,0,0,0
"18","1","6","Porites cylindrica",90,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","1","7","Acropora verweyi",100,60,50,50,40,20,20,20,10,10,10,40,10,20,10,0
"20","1","7","Pocillopora verrucosa",100,100,100,100,100,100,100,80,70,30,0,0,0,0,0,0
"21","1","7","Porites cylindrica",100,100,100,100,90,90,80,50,50,50,50,0,0,0,0,0
"22","1","8","Acropora verweyi",100,100,90,90,90,80,80,80,90,90,80,90,80,80,80,95
"23","1","8","Pocillopora verrucosa",100,100,100,100,100,90,80,80,70,50,0,0,0,0,0,0
"24","1","8","Porites cylindrica",80,75,90,90,90,30,10,10,10,10,10,10,0,0,0,0
"25","2","1","Acropora verweyi",100,100,100,100,100,100,100,100,100,80,80,90,70,60,60,40
"26","2","1","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,90,0,0,0,0,0,0
"27","2","1","Porites cylindrica",80,100,100,100,90,90,90,90,90,90,30,0,0,0,0,0
"28","2","2","Acropora verweyi",100,100,100,100,100,100,90,90,80,70,70,90,70,60,50,10
"29","2","2","Pocillopora verrucosa",100,100,80,80,80,80,80,80,80,50,0,0,0,0,0,0
"30","2","2","Porites cylindrica",100,90,50,50,50,50,50,50,50,10,10,0,0,0,0,0
"31","2","3","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,95
"32","2","3","Pocillopora verrucosa",100,100,100,100,100,100,80,80,70,30,10,0,0,0,0,0
"33","2","3","Porites cylindrica",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2","4","Acropora verweyi",100,100,100,100,100,100,100,90,90,90,90,100,80,80,40,50
"35","2","4","Pocillopora verrucosa",100,100,100,100,100,100,80,70,70,30,0,0,0,0,0,0
"36","2","4","Porites cylindrica",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
