date,bleach,bleachR,bleachG,bleachB,survival
1,86.05277841,101.2604853,86.81138495,72.13458878,84
2,93.76748,119.4520479,91.21930775,72.30956589,83
3,130.4889101,148.9613668,137.8701725,107.6958028,80
4,135.690913,159.9269608,138.2117606,110.6491463,71
5,104.8122655,119.8771493,116.0929967,82.24157431,64
6,115.949642,135.5599092,129.5769185,90.5262959,55
7,150.2652695,155.9324504,165.7288231,129.7314502,53
8,146.3691213,165.6270655,157.9170592,120.9033371,45
9,157.9415286,178.1170808,167.2735268,131.8289936,44
10,120.1692162,143.3882056,129.8238449,95.59003949,6
11,,,,,0
12,,,,,0
1,71.31861446,87.97716944,76.03499264,52.85480731,67
2,51.23540105,68.74433422,50.70690365,35.61454651,58
3,159.5171951,190.2219142,173.2210943,123.883975,53
4,81.4844652,101.672336,90.4813457,55.32163277,53
5,109.4137826,129.909837,126.6829656,78.50333217,52
6,116.3117491,136.3422078,131.7942261,86.42708899,48
7,132.1417079,182.1714933,148.1990431,100.0775955,43
8,106.5891458,125.3679239,118.1991413,82.46879511,28
9,78.99426296,101.9023451,95.24403428,45.86925731,12
10,,,,,0
11,,,,,0
12,,,,,0
1,81.23333892,92.20333916,87.63747473,66.67152696,74
2,118.8515152,138.8232674,128.0292087,94.51954769,71
3,123.2601868,141.9354639,134.6942252,99.64920825,70
4,161.840183,186.1190325,171.474293,133.0881245,68
5,131.9045289,139.8931453,147.1916855,109.9024586,63
6,159.1203195,183.6470041,170.3017995,132.0993658,63
7,179.3493587,287.681468,183.8207281,157.8535273,63
8,186.9877292,219.3077646,201.843955,153.3985414,61
9,198.2596933,213.9223887,207.3805077,176.4278604,54
10,98.36438828,111.213464,109.5778898,79.49167981,33
11,68.31983459,89.9440175,77.6559018,45.3584735,15
12,68.28483053,83.42831755,74.09286314,53.60368559,14
1,80.62840578,89.86459683,89.82891585,64.18847374,65
2,91.90378579,101.6948726,99.02193443,70.73804886,65
3,126.2221293,136.8955403,137.8427312,106.5798705,65
4,115.6021687,131.6409499,125.6313598,93.69903491,63
5,127.3878613,132.6316873,141.5571203,109.9895596,58
6,182.1564574,199.6921327,193.1251341,159.9868387,58
7,181.6719773,270.7231344,189.6847528,157.4602761,55
8,151.0538977,163.6221804,164.0105401,131.0774899,44
9,125.1317264,131.0982111,141.4542824,104.0790691,31
10,158.3570571,182.9958299,172.6537672,131.2896791,7
11,182.0500803,188.0477624,192.5118272,167.2454368,3
12,,,,,0
1,64.29242529,71.51079181,74.37532698,49.19783856,81
2,86.57932128,105.4938843,95.70345092,64.44532849,76
3,98.02436255,105.4032956,109.6684754,81.04767427,73
4,147.1372258,162.7116051,157.7566696,124.8593088,60
5,125.389776,123.9355393,139.53684,111.8745627,59
6,159.3736598,170.9507032,169.507326,142.6012263,58
7,161.5363683,175.1226196,172.3524569,139.5041855,56
8,177.6970527,194.9151513,190.4379125,155.1256023,54
9,188.3010099,198.5572569,196.965561,171.7385495,45
10,137.1822324,160.8043328,148.0476002,115.0700757,34
11,106.2120894,122.3600639,119.2303777,84.96453948,24
12,69.8666731,78.24038198,76.58503669,60.97142332,6
1,60.0344994,60.06131223,71.09688353,49.14900513,68
2,52.2909147,55.47156557,63.10291366,38.98398687,65
3,106.5402593,108.4282397,120.9456874,90.19616675,61
4,114.2139444,114.6451911,129.0243808,98.43243527,56
5,151.0324091,154.1813016,166.294296,133.1058059,54
6,158.7968281,168.9264432,174.0100643,138.0111037,53
7,156.5773811,168.3310059,172.2628423,129.9292784,53
8,128.5405861,127.9481221,145.4235102,112.5593193,46
9,128.2873214,126.9676909,147.2229471,108.6439005,35
10,98.29237478,104.7865559,114.8270112,79.24224494,26
11,56.29155369,51.65929906,69.73631313,46.14611699,13
12,50.45479283,41.05246264,59.09790979,46.76056166,6
1,53.58624411,56.64894244,65.25678253,39.76352543,93
2,73.62172301,88.44655511,83.91143892,53.90277358,90
3,108.3558398,113.1034112,121.0746848,91.72789082,89
4,110.6639014,119.6906484,123.1314573,91.53157714,88
5,119.8143005,118.6311607,135.5232606,103.5891886,86
6,138.9710292,143.035504,153.1100016,122.3440273,83
7,157.2914711,171.6161149,171.5941625,129.5809871,78
8,143.1119793,154.7486251,155.5173437,124.8422563,73
9,170.1790766,173.5655987,180.3645391,156.4208338,66
10,122.1555568,134.5598899,133.0356562,105.5714855,51
11,64.30001734,66.35978318,77.06524143,51.89982751,48
12,51.18576645,46.52250012,58.18460948,46.99808031,40
1,38.8786386,38.32358533,50.89191337,26.82688451,79
2,56.81356615,54.55290557,73.01762393,40.46657805,76
3,104.0178744,104.2238466,120.8451006,85.14824958,71
4,105.7686794,100.5593597,122.8264523,89.45128502,66
5,127.2856121,132.7794563,142.9764472,106.2977423,60
6,146.406288,153.5395202,162.1816558,126.543608,55
7,167.030655,186.9195746,182.2078466,134.835486,48
8,129.1683655,126.9208347,146.952754,112.5623301,48
9,122.8825849,119.2741271,142.2540752,102.6442739,45
10,141.4062919,153.3451805,156.1572181,121.2158018,20
11,61.29935513,55.45443898,76.45282856,49.96612169,16
12,46.89362518,8.104428953,53.47348132,46.52034772,5
1,39.35245026,38.65841625,53.23607444,25.39050843,88
2,54.31690662,56.63015922,69.11291413,37.25739517,85
3,66.73785598,64.36140541,85.59907035,46.84187668,85
4,88.45926007,85.96810066,107.8076244,68.72036404,84
5,113.192467,692.9387031,134.3074541,88.07009831,70
6,126.6695354,133.7593065,143.6885663,105.3355314,61
7,133.5168859,144.4566206,155.0976231,98.45370732,54
8,108.989387,115.9577678,128.4509809,85.45168473,53
9,128.5828091,128.0647946,150.3574858,104.3454644,43
10,80.47432034,73.44288014,92.36386552,72.43786997,3
11,,,,,0
12,,,,,0
1,36.65576635,29.78288558,50.52745638,26.89051594,78
2,33.14218951,26.86253732,46.66597959,21.61768557,71
3,45.11717488,40.0649651,66.23352525,23.90595199,70
4,53.78380596,43.13374818,76.70492471,32.74520623,70
5,78.99147658,66.86855288,109.7019676,48.21914594,68
