Experiment,Location,Structure,Fragment,Species,Date_0,Length_cm_0,Width1_cm_0,Width2_cm_0,EV_cm3_0,Survival_0,Comments_0,Date_1,Length_cm_1,Width1_cm_1,Width2_cm_1,EV_cm3_1,Survival_1,Comments_1,Date_2,Length_cm_2,Width1_cm_2,Width2_cm_2,EV_cm3_2,Survival_2,Comments_2,Date_3,Length_cm_3,Width1_cm_3,Width2_cm_3,EV_cm3_3,Survival_3,Comments_3
Depth gradient 2019 - 2020,Pilli Pipa,1,1,Acropora formosa,30-Oct-19,9.1,1.3,1.5,14,100,,25-Feb-20,8.9,2.4,1.9,32,100,,20-May-20,11.1,3.1,2.6,71,100,,7-Oct-20,10.7,4.1,3.7,128,80,
Depth gradient 2019 - 2020,Pilli Pipa,1,2,Acropora formosa,30-Oct-19,5.4,2.5,2.5,27,100,,25-Feb-20,7.6,4.5,3.3,91,100,,20-May-20,9.9,6.4,5.2,262,100,,7-Oct-20,12.9,8.3,6.3,540,100,
Depth gradient 2019 - 2020,Pilli Pipa,1,3,Acropora formosa,30-Oct-19,6.1,2.9,2.9,40,100,,25-Feb-20,7.8,4.7,2.9,88,100,,20-May-20,12.3,9.7,6.6,642,100,,7-Oct-20,14.4,8.3,8.5,798,100,
Depth gradient 2019 - 2020,Pilli Pipa,1,4,Acropora formosa,30-Oct-19,5.6,2.7,2.2,26,100,,25-Feb-20,7.6,3.7,3.6,80,100,,20-May-20,10.9,6.1,5.7,298,100,,7-Oct-20,11.9,8.3,5.5,445,100,
Depth gradient 2019 - 2020,Pilli Pipa,1,5,Acropora formosa,30-Oct-19,8.9,1.8,1.8,23,100,,25-Feb-20,10,2.8,2.7,59,100,,20-May-20,13,5.2,3.3,184,100,,7-Oct-20,12.2,8.3,5.3,443,100,
Depth gradient 2019 - 2020,Pilli Pipa,1,6,Acropora formosa,30-Oct-19,8.3,2.8,2.6,48,100,,25-Feb-20,8.3,3.2,3.8,80,100,,20-May-20,9.8,5.6,4.7,204,100,,7-Oct-20,7.8,6.3,5.8,224,70,
Depth gradient 2019 - 2020,Pilli Pipa,1,7,Acropora formosa,30-Oct-19,8,5.7,2.3,101,100,,25-Feb-20,9.8,7,4.3,246,100,,20-May-20,12.8,9.7,7.2,718,100,,7-Oct-20,10.2,8.3,6.1,415,100,
Depth gradient 2019 - 2020,Pilli Pipa,1,8,Acropora formosa,30-Oct-19,11.1,2,2.1,37,100,,25-Feb-20,12.1,4,3.2,123,100,,20-May-20,14.4,5.6,5.2,330,100,,7-Oct-20,10.2,8.3,6.2,421,100,
Depth gradient 2019 - 2020,Pilli Pipa,2,1,Acropora formosa,30-Oct-19,8.4,2.3,1.5,24,100,,25-Feb-20,12,6,4.1,240,100,,20-May-20,14.2,9.2,7,732,100,>1cm Difference,7-Oct-20,12.5,12.1,8.3,"1,021",100,
Depth gradient 2019 - 2020,Pilli Pipa,2,2,Acropora formosa,30-Oct-19,7.5,2.8,1.8,31,100,,25-Feb-20,11.4,4.7,4.2,177,100,,20-May-20,16.5,8.1,6.5,691,100,,7-Oct-20,17.7,11.9,9.5,"1,592",100,
