Experiment,Depth,Fragment,Species,Date_no,Date,AVG,R,G,B,AVG.s,R.s,G.s,B.s,AVG.c,R.c,G.c,B.c,Survival,Cause,Comments
Acropora werveyi,1,1,Acropora verweyi,1,18/03/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,2,25/03/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,3,01/04/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,4,08/04/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,5,15/04/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,6,22/04/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,7,29/04/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,8,06/05/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,9,13/05/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,10,03/06/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,11,17/06/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,1,Acropora verweyi,12,15/07/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,2,Acropora verweyi,1,18/03/2020,92.668,113.58,90.096,74.342,230.478,220.651,230.34,240.288,102.5275297,131.2611318,99.74159937,78.89370256,70,,
Acropora werveyi,1,2,Acropora verweyi,2,25/03/2020,41.357,60.914,33.176,30.139,169.387,170.393,158.901,179.164,62.26000224,91.16025893,53.23994185,42.89614543,70,,
Acropora werveyi,1,2,Acropora verweyi,3,01/04/2020,55.368,75.438,52.793,37.873,174.932,165.374,175.281,184.091,80.71044749,116.322336,76.80361819,52.46109261,70,,
Acropora werveyi,1,2,Acropora verweyi,4,08/04/2020,73.921,101.681,63.819,56.278,179.206,182.803,169.162,185.716,105.1854012,141.8393298,96.20272283,77.27330978,70,,
Acropora werveyi,1,2,Acropora verweyi,5,15/04/2020,53.395,69.343,58.601,32.248,196.531,183.852,197.871,207.977,69.28029166,96.1777136,75.52018739,39.53917981,70,,g
Acropora werveyi,1,2,Acropora verweyi,6,22/04/2020,44.744,51.348,50.554,32.375,130.983,113.841,126.697,152.379,87.10840338,115.017788,101.748818,54.17823322,60,,g
Acropora werveyi,1,2,Acropora verweyi,7,29/04/2020,69.989,51.625,102.212,56.176,149.905,91.493,189.027,169.719,119.0567026,143.8839583,137.8853815,84.40351404,60,,g
Acropora werveyi,1,2,Acropora verweyi,8,06/05/2020,95.4,117.648,102.545,66.006,197.107,189.856,186.851,214.275,123.4202743,158.0157593,139.9455984,78.55106755,60,,g
Acropora werveyi,1,2,Acropora verweyi,9,13/05/2020,53.515,63.267,63.004,34.292,149.696,138.459,151.604,159.276,91.16025144,116.5188612,105.9735891,54.9013034,60,,g
Acropora werveyi,1,2,Acropora verweyi,10,03/06/2020,33.786,43.53,36.724,21.128,201.429,182.249,200.605,221.565,42.77154729,60.90650703,46.68188729,24.31629544,60,,
Acropora werveyi,1,2,Acropora verweyi,11,17/06/2020,32.015,40.068,32.706,23.255,189.765,176.647,186.777,205.998,43.02070983,57.84043884,44.65233942,28.78680861,60,,
Acropora werveyi,1,2,Acropora verweyi,12,15/07/2020,,,,,,,,,,,,,0,Dead,
Acropora werveyi,1,3,Acropora verweyi,1,18/03/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,2,25/03/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,3,01/04/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,4,08/04/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,5,15/04/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,6,22/04/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,7,29/04/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,8,06/05/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,9,13/05/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,10,03/06/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,11,17/06/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,3,Acropora verweyi,12,15/07/2020,,,,,,,,,,,,,0,Missing,
Acropora werveyi,1,4,Acropora verweyi,1,18/03/2020,82.411,98.482,80.152,68.598,220.978,208.637,220.475,233.975,95.09908226,120.3665218,92.70329969,74.76221819,90,,
Acropora werveyi,1,4,Acropora verweyi,2,25/03/2020,42.75,65.145,33.586,29.603,173.294,174.606,162.905,182.708,62.90610177,95.13977183,52.57315613,41.31600696,70,,
Acropora werveyi,1,4,Acropora verweyi,3,01/04/2020,67.184,86.887,65.944,48.731,184.566,173.198,185.25,194.926,92.82273008,127.9240234,90.77311741,63.74934591,70,,
Acropora werveyi,1,4,Acropora verweyi,4,08/04/2020,79.219,101.718,69.498,66.486,183.909,187.331,173.805,190.606,109.8415249,138.4612798,101.9647881,88.94751477,70,,
Acropora werveyi,1,4,Acropora verweyi,5,15/04/2020,57.715,64.636,62.482,46.027,159.51,139.056,161.453,177.76,92.2658454,118.5290818,98.6845088,66.02658078,70,,g
Acropora werveyi,1,4,Acropora verweyi,6,22/04/2020,42.771,51.677,43.102,33.532,132.112,117.957,127.349,150.898,82.55574815,111.7155828,86.30621363,56.66516455,60,,g
Acropora werveyi,1,4,Acropora verweyi,7,29/04/2020,90.601,72.285,123.012,76.5,185.603,131.121,221.846,203.51,124.4767326,140.5775963,141.3956528,95.85524053,60,,g
Acropora werveyi,1,4,Acropora verweyi,8,06/05/2020,81.714,91.956,83.788,69.401,170.511,160.747,160.257,190.281,122.2036701,145.8738266,133.322975,93.00589654,60,,g
Acropora werveyi,1,4,Acropora verweyi,9,13/05/2020,60.674,73.475,72.773,35.774,142.226,131.161,144.268,151.345,108.7836964,142.8482933,128.6294604,60.2753312,60,,g
Acropora werveyi,1,4,Acropora verweyi,10,03/06/2020,48.706,53.4,52.708,40.026,156.853,130.181,156.113,184.412,79.18261047,104.6005177,86.09494405,55.34688632,50,,
Acropora werveyi,1,4,Acropora verweyi,11,17/06/2020,57.822,70.696,58.886,43.898,217.737,200.336,215.709,237.337,67.7175216,89.98622315,69.61197725,47.16495953,40,,
Acropora werveyi,1,4,Acropora verweyi,12,15/07/2020,40.401,42.406,43.729,35.095,171.737,129.471,174.923,210.515,59.98855809,83.52086568,63.74744888,42.51110372,20,,
Acropora werveyi,1,5,Acropora verweyi,1,18/03/2020,68.788,83.435,66.995,55.929,204.818,190.67,204.352,218.939,85.641594,111.5850684,83.59949988,65.1409525,80,,
Acropora werveyi,1,5,Acropora verweyi,2,25/03/2020,50.095,75.089,41.185,34.05,171.922,169.347,161.534,184.919,74.30244529,113.0678134,65.01525995,46.95434217,70,,
Acropora werveyi,1,5,Acropora verweyi,3,01/04/2020,41.731,60.169,40.04,25.023,156.291,143.403,156.846,168.376,68.08712594,106.9928453,65.0969741,37.89652326,70,,
Acropora werveyi,1,5,Acropora verweyi,4,08/04/2020,99.332,138.804,87.431,71.768,193.06,196.839,183.591,198.625,131.2009738,179.8171094,121.4378973,92.13764632,70,,
Acropora werveyi,1,5,Acropora verweyi,5,15/04/2020,57.597,64.772,62.618,45.401,168.072,146.189,169.925,187.899,87.38656647,112.9829194,93.96845667,61.61424489,70,,g
Acropora werveyi,1,5,Acropora verweyi,6,22/04/2020,131.998,137.679,139.423,118.899,230.133,206.178,230.439,253.637,146.2610317,170.2807526,154.2831943,119.537942,70,,g
Acropora werveyi,1,5,Acropora verweyi,7,29/04/2020,66.817,49.542,94.464,56.479,159.874,101.669,198.857,179.14,106.5735204,124.2582301,121.1338801,80.39603104,70,,g
Acropora werveyi,1,5,Acropora verweyi,8,06/05/2020,61.78,78.829,62.178,44.356,152.204,142.79,142.029,171.654,103.5051641,140.7759297,111.6348774,65.89290084,70,,g
Acropora werveyi,1,5,Acropora verweyi,9,13/05/2020,55.449,69.708,62.248,34.401,163.011,153.137,163.852,171.988,86.73951451,116.0760626,96.87547299,51.00504105,60,,g
Acropora werveyi,1,5,Acropora verweyi,10,03/06/2020,57.855,74.515,58.535,40.531,185.533,165.001,183.959,207.881,79.5169862,115.1588475,81.1399551,49.71789149,20,,
Acropora werveyi,1,5,Acropora verweyi,11,17/06/2020,36.849,49.608,36.625,24.301,180.449,169.143,177.753,194.138,52.07285715,74.78902467,52.54130732,31.91933058,30,,
Acropora werveyi,1,5,Acropora verweyi,12,15/07/2020,38.377,41.348,43.091,30.681,150.175,108.535,152.825,188.961,65.16487431,97.14598977,71.90057255,41.40354359,20,,
Acropora werveyi,1,6,Acropora verweyi,1,18/03/2020,65.446,77.447,65.166,53.724,211.919,197.503,212.121,225.776,78.75051317,99.99334187,78.33891977,60.67792857,80,,
Acropora werveyi,1,6,Acropora verweyi,2,25/03/2020,55.337,74.522,48.211,43.3,176.603,172.429,167.182,190.525,79.90201186,110.2083176,73.53545836,57.95302454,80,,
Acropora werveyi,1,6,Acropora verweyi,3,01/04/2020,67.035,84.72,66.932,49.47,176.209,165.687,176.624,186.109,97.00937523,130.3880208,96.63273394,67.78205245,80,,
Acropora werveyi,1,6,Acropora verweyi,4,08/04/2020,84.153,111.365,75.382,65.763,174.772,178.056,164.533,181.792,122.7829115,159.4895707,116.8301192,92.24589091,70,,
Acropora werveyi,1,6,Acropora verweyi,5,15/04/2020,43.063,45.105,49.163,34.937,170.786,146.986,173.24,192.1,64.29721991,78.25081981,72.36530247,46.37654867,70,,g
Acropora werveyi,1,6,Acropora verweyi,6,22/04/2020,33.604,37.221,36.794,26.79,114.779,101.648,109.891,133.047,74.65668807,93.37473438,85.37978542,51.34614084,70,,g
Acropora werveyi,1,6,Acropora verweyi,7,29/04/2020,66.434,44.487,96.599,58.232,171.028,113.706,208.806,190.3,99.05202657,99.76769036,117.9695267,78.030268,70,,g
Acropora werveyi,1,6,Acropora verweyi,8,06/05/2020,51.79,64.126,55.828,35.43,164.324,154.48,155.131,183.254,80.36835763,105.8527317,91.76850533,49.30124308,70,,g
Acropora werveyi,1,6,Acropora verweyi,9,13/05/2020,72.944,88.885,85.728,44.209,188.615,180.778,188.869,196.146,98.61739522,125.3785029,115.7449873,57.47399896,60,,g
Acropora werveyi,1,6,Acropora verweyi,10,03/06/2020,80.59,95.182,84.498,62.107,229.916,212.977,229.431,247.648,89.38242663,113.9625875,93.91490252,63.95078902,60,,
Acropora werveyi,1,6,Acropora verweyi,11,17/06/2020,36.864,46.025,37.447,27.092,205.984,188.94,204.724,224.717,45.63616592,62.11694189,46.64321232,30.74293445,60,,
Acropora werveyi,1,6,Acropora verweyi,12,15/07/2020,39.594,41.013,43.721,34.08,188.729,147.84,192.355,226.032,53.49718379,70.74076705,57.95978789,38.44765343,40,,
Acropora werveyi,1,7,Acropora verweyi,1,18/03/2020,74.437,89.157,72.508,61.637,228.027,215.054,226.709,241.994,83.24205028,105.7177965,81.55626817,64.94968884,50,,
Acropora werveyi,1,7,Acropora verweyi,2,25/03/2020,46.911,66.046,40.519,34.2,172.852,168.246,162.691,187.445,69.20547636,100.1018152,63.50901402,46.52564752,50,,
Acropora werveyi,1,7,Acropora verweyi,3,01/04/2020,42.168,56.988,43.718,25.828,179.397,164.978,179.741,193.16,59.93879496,88.08410818,62.02307765,34.09681093,40,,
Acropora werveyi,1,7,Acropora verweyi,4,08/04/2020,51.882,71.931,44.213,39.593,189.914,193.456,179.242,197.436,69.66263677,94.81435055,62.89996206,51.13664681,20,,
Acropora werveyi,1,7,Acropora verweyi,5,15/04/2020,32.14,40.132,38.612,17.679,166.403,151.112,168.337,179.652,49.25211685,67.72235163,58.4901715,25.09376461,20,,g
Acropora werveyi,1,7,Acropora verweyi,6,22/04/2020,22.347,25.88,25.414,15.723,120.418,105.981,115.392,139.863,47.32253484,62.26965211,56.16134567,28.66637352,20,,g
Acropora werveyi,1,7,Acropora verweyi,7,29/04/2020,45.993,27.451,69.514,40.952,163.291,99.456,203.495,187.278,71.82401357,70.38293316,87.10813534,55.76074072,10,,g
Acropora werveyi,1,7,Acropora verweyi,8,06/05/2020,27.154,36.165,29.571,15.684,179.156,170.275,169.14,197.969,38.64938936,54.15988842,44.58203264,20.20225389,10,,g
Acropora werveyi,1,7,Acropora verweyi,9,13/05/2020,34.459,41.944,39.822,21.626,156.955,147.55,157.452,165.789,55.984486,72.48878346,64.49336941,33.26294266,10,,g
Acropora werveyi,1,7,Acropora verweyi,10,03/06/2020,63.197,74.697,67.686,47.208,213.881,195.162,212.372,234.703,75.34673487,97.59960956,81.27215452,51.29052462,10,,
Acropora werveyi,1,7,Acropora verweyi,11,17/06/2020,45.505,54.484,46.461,35.624,203.781,189.61,201.079,220.836,56.94237932,73.273667,58.91990213,41.13514101,20,,
Acropora werveyi,1,7,Acropora verweyi,12,15/07/2020,,,,,,,,,,,,,10,,
Acropora werveyi,1,8,Acropora verweyi,1,18/03/2020,73.962,90.509,71.381,60.003,212.611,200.064,212.386,225.235,88.70806308,115.3620591,85.70317723,67.93244833,90,,
Acropora werveyi,1,8,Acropora verweyi,2,25/03/2020,52.32,76.434,43.208,37.373,173.853,170.973,163.485,187.164,76.74069472,113.9985261,67.39480686,50.918526,90,,
Acropora werveyi,1,8,Acropora verweyi,3,01/04/2020,52.07,70.606,50.281,35.339,168.665,156.481,169.453,179.838,78.72320873,115.0588889,75.66496315,50.10868115,90,,
Acropora werveyi,1,8,Acropora verweyi,4,08/04/2020,48.795,66.6,40.553,39.309,150.944,146.883,139.391,166.36,82.43272339,115.6226384,74.18710677,60.25363669,80,,
Acropora werveyi,1,8,Acropora verweyi,5,15/04/2020,63.54,66.962,67.237,56.431,162.627,145.014,164.354,178.469,99.63105757,117.7493897,104.3201565,80.62971721,80,,g
Acropora werveyi,1,8,Acropora verweyi,6,22/04/2020,39.078,46.541,39.406,31.303,119.509,106.565,114.458,137.293,83.38192103,111.368226,87.79229062,58.14036404,80,,g
